iter	Passed	Remaining
0	78	78861
1	79	39660
2	80	26600
3	80	20057
4	81	16162
5	81	13542
6	82	11668
7	82	10263
8	83	9171
9	83	8295
10	84	7575
11	84	6976
12	85	6470
13	85	6034
14	86	5658
15	86	5326
16	87	5034
17	87	4775
18	87	4542
19	88	4335
20	88	4146
21	89	3974
22	89	3817
23	90	3672
24	90	3539
25	91	3416
26	91	3302
27	92	3197
28	92	3102
29	93	3010
30	93	2924
31	94	2843
32	94	2768
33	94	2697
34	95	2629
35	95	2567
36	96	2506
37	96	2449
38	97	2395
39	97	2343
40	98	2294
41	98	2248
42	99	2203
43	99	2162
44	100	2123
45	100	2084
46	100	2047
47	101	2011
48	101	1977
49	102	1944
50	102	1912
51	103	1882
52	103	1853
53	104	1824
54	104	1797
55	105	1770
56	105	1745
57	105	1720
58	106	1697
59	107	1676
60	107	1654
61	107	1632
62	108	1611
63	108	1591
64	109	1571
65	109	1552
66	110	1534
67	110	1513
68	110	1496
69	111	1479
70	111	1462
71	112	1447
72	112	1431
73	113	1415
74	113	1400
75	114	1386
76	114	1372
77	114	1358
78	115	1344
79	115	1331
80	116	1318
81	116	1305
82	117	1293
83	117	1281
84	117	1268
85	118	1257
86	118	1245
87	119	1234
88	119	1223
89	119	1213
90	120	1203
91	120	1193
92	121	1183
93	121	1174
94	122	1164
95	122	1155
96	123	1146
97	123	1137
98	124	1128
99	124	1120
100	124	1112
101	125	1102
102	125	1094
103	126	1086
104	126	1079
105	127	1071
106	127	1063
107	127	1056
108	128	1051
109	129	1044
110	129	1037
111	130	1031
112	130	1024
113	130	1017
114	131	1011
115	131	1004
116	132	997
117	132	991
118	133	985
119	133	980
120	134	974
121	134	968
122	134	960
123	135	955
124	135	949
125	136	944
126	136	938
127	136	932
128	137	927
129	137	921
130	138	916
131	138	911
132	139	906
133	139	901
134	139	896
135	140	892
136	140	887
137	141	882
138	141	877
139	142	873
140	142	869
141	143	865
142	143	860
143	144	856
144	144	852
145	144	848
146	145	843
147	145	839
148	146	835
149	146	831
150	147	827
151	147	823
152	148	820
153	148	816
154	149	812
155	149	808
156	149	804
157	150	801
158	150	797
159	151	793
160	151	790
161	152	786
162	152	783
163	153	779
164	153	776
165	153	773
166	154	769
167	154	766
168	155	763
169	155	760
170	156	757
171	156	754
172	157	750
173	157	747
174	157	744
175	158	741
176	158	738
177	159	735
178	159	732
179	160	729
180	160	725
181	160	722
182	161	719
183	161	717
